Afghanistan,Kabul
Albania,Tirana
Algeria,Algiers
Andorra,Andorra la Vella
Angola,Luanda
Antigua and Barbuda,Saint John's
Argentina,Buenos Aires
Armenia,Yerevan
Australia,Canberra
Austria,Vienna
Bahamas,Nassau
Bangladesh,Dhaka
Barbados,Bridgetown
Belarus,Minsk
Belgium,Brussels
Belize,Belmopan
Bosnia and Herzegovina,Sarajevo
Brazil,Brasilia
Bulgaria,Sofia
Burkina Faso,Ouagadougou
Cambodia,Phnom Penh
Canada,Ottawa
Chile,Santiago
China,Beijing
Colombia,Bogota
Costa Rica,San Jose
Croatia,Zagreb
Cuba,Havana
Cyprus,Nicosia
Czech Republic,Prague
Denmark,Copenhagen
Djibouti,Djibouti
Dominican Republic,Santo Domingo
Ecuador,Quito
Egypt,Cairo
El Salvador,San Salvador
Eritrea,Asmara
Ethiopia,Addis Ababa
Fiji,Suva
Finland,Helsinki
France,Paris
Gabon,Libreville
Germany,Berlin
Ghana,Accra
Greece,Athens
Guatemala,Guatemala City
Guinea-Bissau,Bissau
Guyana,Georgetown
Haiti,Port-au-Prince
Honduras,Tegucigalpa
Hungary,Budapest
Iceland,Reykjavik
India,New Delhi
Indonesia,Jakarta
Iran,Tehran
Iraq,Baghdad
Ireland,Dublin
Israel,Jerusalem
Italy,Rome
Jamaica,Kingston
Japan,Tokyo
Jordan,Amman
Kenya,Nairobi
Kuwait,Kuwait City
Lebanon,Beirut
Liberia,Monrovia
Libya,Tripoli
Liechtenstein,Vaduz
Luxembourg,Luxembourg
Malaysia,Kuala Lumpur
Malta,Valletta
Mexico,Mexico City
Monaco,Monaco
Mongolia,Ulaanbaatar
Myanmar aka Burma,Naypyidaw
Nepal,Kathmandu
Netherlands,Amsterdam
New Zealand,Wellington
Nicaragua,Managua
North Korea,Pyongyang
Norway,Oslo
Oman,Muscat
Pakistan,Islamabad
Palestine,Ramallah
Panama,Panama City
Paraguay,Asuncion
Peru,Lima
Philippines,Manila
Poland,Warsaw
Portugal,Lisbon
Romania,Bucharest
Russia,Moscow
San Marino,San Marino
Sao Tome and Principe,Sao Tome
Saudi Arabia,Riyadh
Senegal,Dakar
Serbia,Belgrade
Seychelles,Victoria
Sierra Leone,Freetown
Singapore,Singapore
Slovakia,Bratislava
South Korea,Seoul
South Sudan,Juba
Spain,Madrid
Sudan,Khartoum
Suriname,Paramaribo
Swaziland,Mbabane
Sweden,Stockholm
Switzerland,Bern
Syria,Damascus
Taiwan,Taipei
Tanzania,Dodoma
Thailand,Bangkok
Togo,Lome
Trinidad and Tobago,Port of Spain
Tunisia,Tunis
Turkey,Ankara
Uganda,Kampala
Ukraine,Kiev
United Arab Emirates,Abu Dhabi
United Kingdom,London
United States of America,Washington D.C.
Uruguay,Montevideo
Uzbekistan,Tashkent
Vatican City (Holy See),Vatican City
Venezuela,Caracas
Vietnam,Hanoi
Zambia,Lusaka
Zimbabwe,Harare
